Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.102,,2018-11-19 16:19:58,2018-11-19 16:20:57,59.061s,PASSED
,,,,,,
Test Cases/Demo/Alert,Chrome 70.0.3538.102,,2018-11-19 16:19:58,2018-11-19 16:20:32,33.628s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-19 16:20:01,2018-11-19 16:20:01,0.077s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:20:01,2018-11-19 16:20:09,7.376s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Go to Alert Demo Screen,2018-11-19 16:20:09,2018-11-19 16:20:11,2.601s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 16:20:11,2018-11-19 16:20:13,1.200s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:20:13,2018-11-19 16:20:15,2.061s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-19 16:20:15,2018-11-19 16:20:15,0.307s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:20:15,2018-11-19 16:20:16,1.007s,PASSED
click,Chrome 70.0.3538.102,Click on the second [Click me!] button,2018-11-19 16:20:16,2018-11-19 16:20:16,0.219s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 70.0.3538.102,,2018-11-19 16:20:16,2018-11-19 16:20:16,0.013s,PASSED
Statement - AlertText = driver.switchTo().alert().getText(),Chrome 70.0.3538.102,Get Alert Text,2018-11-19 16:20:16,2018-11-19 16:20:16,0.148s,PASSED
verifyEqual,Chrome 70.0.3538.102,Verify Alert Text,2018-11-19 16:20:16,2018-11-19 16:20:17,1.057s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:20:17,2018-11-19 16:20:20,2.024s,PASSED
acceptAlert,Chrome 70.0.3538.102,Click on [OK] from Alert,2018-11-19 16:20:20,2018-11-19 16:20:20,0.251s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify you clicked on [OK],2018-11-19 16:20:20,2018-11-19 16:20:20,0.595s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:20:20,2018-11-19 16:20:21,1.002s,PASSED
click,Chrome 70.0.3538.102,Click on the second [Click me!] button,2018-11-19 16:20:21,2018-11-19 16:20:21,0.087s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:20:21,2018-11-19 16:20:24,2.044s,PASSED
dismissAlert,Chrome 70.0.3538.102,Click on [Cancel] from Alert,2018-11-19 16:20:24,2018-11-19 16:20:24,0.067s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify you clicked on [Cancel],2018-11-19 16:20:24,2018-11-19 16:20:24,0.697s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-19 16:20:24,2018-11-19 16:20:24,0.074s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:20:24,2018-11-19 16:20:26,2.005s,PASSED
click,Chrome 70.0.3538.102,Click on [Click for Prompt Box] button,2018-11-19 16:20:26,2018-11-19 16:20:27,0.281s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:20:27,2018-11-19 16:20:28,1.006s,PASSED
Statement - driver.switchTo().alert().sendKeys(message_text),Chrome 70.0.3538.102,Input text into prompt popup,2018-11-19 16:20:28,2018-11-19 16:20:28,0.040s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:20:28,2018-11-19 16:20:30,2.002s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-19 16:20:30,2018-11-19 16:20:30,0.073s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify inputted text,2018-11-19 16:20:30,2018-11-19 16:20:30,0.454s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:20:30,2018-11-19 16:20:31,1.004s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-19 16:20:31,2018-11-19 16:20:32,0.850s,PASSED
,,,,,,
Test Cases/Demo/Text,Chrome 70.0.3538.102,,2018-11-19 16:20:32,2018-11-19 16:20:57,24.522s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-19 16:20:32,2018-11-19 16:20:32,0.005s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:20:33,2018-11-19 16:20:36,3.066s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Go to [Simple Form Demo] Screen,2018-11-19 16:20:36,2018-11-19 16:20:39,3.489s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 16:20:39,2018-11-19 16:20:41,1.171s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify text [This would be your first example to start with Selenium.] with specified value,2018-11-19 16:20:41,2018-11-19 16:20:41,0.598s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-19 16:20:41,2018-11-19 16:20:43,2.009s,PASSED
