Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DCM,Chrome 70.0.3538.77,,2018-11-14 13:03:45,2018-11-14 13:04:08,22.442s,FAILED
,,,,,,
Test Cases/DCM/Testcase01_VerifyLoginSuccessfully,Chrome 70.0.3538.77,,2018-11-14 13:03:46,2018-11-14 13:04:08,21.477s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-14 13:03:47,2018-11-14 13:03:47,0.168s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-14 13:03:47,2018-11-14 13:04:01,14.217s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-14 13:04:01,2018-11-14 13:04:02,1.048s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-14 13:04:02,2018-11-14 13:04:04,1.180s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-14 13:04:04,2018-11-14 13:04:05,1.533s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-14 13:04:05,2018-11-14 13:04:06,1.002s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-14 13:04:06,2018-11-14 13:04:08,1.691s,FAILED
