Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DCM,Chrome 70.0.3538.77,,2018-11-13 14:14:32,2018-11-13 14:15:06,34.258s,FAILED
,,,,,,
Test Cases/DCM/Testcase01_VerifyLoginSuccessfully,Chrome 70.0.3538.77,,2018-11-13 14:14:33,2018-11-13 14:14:48,15.045s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-13 14:14:33,2018-11-13 14:14:33,0.083s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 14:14:33,2018-11-13 14:14:44,11.099s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 14:14:44,2018-11-13 14:14:45,1.025s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:14:45,2018-11-13 14:14:46,1.032s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-13 14:14:46,2018-11-13 14:14:48,1.249s,FAILED
,,,,,,
Test Cases/DCM/Testcase01_VerifyLoginSuccessfully,Chrome 70.0.3538.77,,2018-11-13 14:14:48,2018-11-13 14:15:06,18.358s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-13 14:14:48,2018-11-13 14:14:48,0.022s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 14:14:48,2018-11-13 14:14:57,9.304s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 14:14:57,2018-11-13 14:14:58,1.023s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:14:58,2018-11-13 14:14:59,1.001s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-13 14:14:59,2018-11-13 14:15:00,0.553s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:15:00,2018-11-13 14:15:01,1.001s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:15:01,2018-11-13 14:15:03,2.349s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:15:03,2018-11-13 14:15:06,3.004s,PASSED
getWindowTitle,Chrome 70.0.3538.77,,2018-11-13 14:15:06,2018-11-13 14:15:06,0.047s,PASSED
