Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.102,,2018-11-27 14:20:17,2018-11-27 14:21:26,1m - 8.964s,PASSED
,,,,,,
Test Cases/Demo/Text,Chrome 70.0.3538.102,,2018-11-27 14:20:18,2018-11-27 14:20:41,22.834s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-27 14:20:18,2018-11-27 14:20:18,0.113s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-27 14:20:19,2018-11-27 14:20:24,5.355s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Go to [Simple Form Demo] Screen,2018-11-27 14:20:24,2018-11-27 14:20:31,6.844s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-27 14:20:31,2018-11-27 14:20:32,1.157s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify text [This would be your first example to start with Selenium.] with specified value,2018-11-27 14:20:32,2018-11-27 14:20:33,0.496s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-27 14:20:33,2018-11-27 14:20:35,2.002s,PASSED
callTestCase,Chrome 70.0.3538.102,Connect Database,2018-11-27 14:20:35,2018-11-27 14:20:38,3.536s,PASSED
"Statement - rs = CustomKeywords.demo.Database.executeQuery(com.kms.katalon.core.testdata.TestDataFactory.findTestData(Demo/Sample_TC_Text_xlsx).getValue(14, 6))",Chrome 70.0.3538.102,Query expected text from database,2018-11-27 14:20:38,2018-11-27 14:20:39,0.842s,PASSED
Statement - description = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-27 14:20:39,2018-11-27 14:20:39,0.001s,PASSED
Statement - While (rs.next()),Chrome 70.0.3538.102,,2018-11-27 14:20:39,2018-11-27 14:20:39,0.049s,PASSED
Statement - out.println(description),Chrome 70.0.3538.102,,2018-11-27 14:20:39,2018-11-27 14:20:39,0.010s,PASSED
demo.Database.closeDatabaseConnection,Chrome 70.0.3538.102,,2018-11-27 14:20:39,2018-11-27 14:20:39,0.005s,PASSED
verifyEqual,Chrome 70.0.3538.102,Verify text [This would be your first example to start with Selenium.] with result getting from database,2018-11-27 14:20:39,2018-11-27 14:20:40,0.485s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,,2018-11-27 14:20:40,2018-11-27 14:20:41,0.915s,PASSED
,,,,,,
Test Cases/Demo/Textbox,Chrome 70.0.3538.102,,2018-11-27 14:20:41,2018-11-27 14:21:25,44.306s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-27 14:20:41,2018-11-27 14:20:41,0.008s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-27 14:20:42,2018-11-27 14:20:46,3.869s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Go to [Simple Form Demo] Screen,2018-11-27 14:20:46,2018-11-27 14:20:47,1.739s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 14:20:47,2018-11-27 14:20:49,2.019s,PASSED
setText,Chrome 70.0.3538.102,Enter message,2018-11-27 14:20:49,2018-11-27 14:20:50,0.725s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 14:20:50,2018-11-27 14:20:51,1.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 14:20:51,2018-11-27 14:20:51,0.184s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify the value of textbox with sepcified value,2018-11-27 14:20:51,2018-11-27 14:20:52,0.390s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-27 14:20:52,2018-11-27 14:20:54,2.001s,PASSED
callTestCase,Chrome 70.0.3538.102,Connect Database,2018-11-27 14:20:54,2018-11-27 14:21:24,30.651s,PASSED
Statement - rs = CustomKeywords.demo.Database.executeQuery(query_message_from_db),Chrome 70.0.3538.102,Query message from database,2018-11-27 14:21:24,2018-11-27 14:21:25,0.380s,PASSED
Statement - description = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-27 14:21:25,2018-11-27 14:21:25,0.000s,PASSED
Statement - While (rs.next()),Chrome 70.0.3538.102,,2018-11-27 14:21:25,2018-11-27 14:21:25,0.021s,PASSED
demo.Database.closeDatabaseConnection,Chrome 70.0.3538.102,,2018-11-27 14:21:25,2018-11-27 14:21:25,0.001s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify message input on page with message getting from database,2018-11-27 14:21:25,2018-11-27 14:21:25,0.168s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 14:21:25,2018-11-27 14:21:25,0.192s,PASSED
