Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.102,,2018-11-27 14:15:47,2018-11-27 14:16:36,49.415s,PASSED
,,,,,,
Test Cases/Demo/Text,Chrome 70.0.3538.102,,2018-11-27 14:15:47,2018-11-27 14:16:12,24.624s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-27 14:15:48,2018-11-27 14:15:48,0.198s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-27 14:15:48,2018-11-27 14:15:53,4.840s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Go to [Simple Form Demo] Screen,2018-11-27 14:15:53,2018-11-27 14:15:57,4.054s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-27 14:15:57,2018-11-27 14:15:58,1.316s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify text [This would be your first example to start with Selenium.] with specified value,2018-11-27 14:15:58,2018-11-27 14:15:59,0.931s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-27 14:15:59,2018-11-27 14:16:01,2.005s,PASSED
callTestCase,Chrome 70.0.3538.102,Connect Database,2018-11-27 14:16:01,2018-11-27 14:16:10,8.810s,PASSED
"Statement - rs = CustomKeywords.demo.Database.executeQuery(com.kms.katalon.core.testdata.TestDataFactory.findTestData(Demo/Sample_TC_Text_xlsx).getValue(14, 6))",Chrome 70.0.3538.102,Query expected text from database,2018-11-27 14:16:10,2018-11-27 14:16:11,0.723s,PASSED
Statement - description = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-27 14:16:11,2018-11-27 14:16:11,0.001s,PASSED
Statement - While (rs.next()),Chrome 70.0.3538.102,,2018-11-27 14:16:11,2018-11-27 14:16:11,0.070s,PASSED
Statement - out.println(description),Chrome 70.0.3538.102,,2018-11-27 14:16:11,2018-11-27 14:16:11,0.010s,PASSED
demo.Database.closeDatabaseConnection,Chrome 70.0.3538.102,,2018-11-27 14:16:11,2018-11-27 14:16:11,0.211s,PASSED
verifyEqual,Chrome 70.0.3538.102,Verify text [This would be your first example to start with Selenium.] with result getting from database,2018-11-27 14:16:11,2018-11-27 14:16:11,0.201s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,,2018-11-27 14:16:11,2018-11-27 14:16:12,0.652s,PASSED
,,,,,,
Test Cases/Demo/Textbox,Chrome 70.0.3538.102,,2018-11-27 14:16:12,2018-11-27 14:16:36,23.877s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-27 14:16:12,2018-11-27 14:16:12,0.004s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-27 14:16:13,2018-11-27 14:16:16,3.556s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Go to [Simple Form Demo] Screen,2018-11-27 14:16:16,2018-11-27 14:16:18,1.920s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 14:16:18,2018-11-27 14:16:20,2.011s,PASSED
setText,Chrome 70.0.3538.102,Enter message,2018-11-27 14:16:20,2018-11-27 14:16:21,0.655s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 14:16:21,2018-11-27 14:16:22,1.045s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 14:16:22,2018-11-27 14:16:22,0.310s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify the value of textbox with sepcified value,2018-11-27 14:16:22,2018-11-27 14:16:22,0.249s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-27 14:16:22,2018-11-27 14:16:24,2.001s,PASSED
callTestCase,Chrome 70.0.3538.102,Connect Database,2018-11-27 14:16:24,2018-11-27 14:16:35,10.607s,PASSED
Statement - rs = CustomKeywords.demo.Database.executeQuery(query_message_from_db),Chrome 70.0.3538.102,Query message from database,2018-11-27 14:16:35,2018-11-27 14:16:35,0.363s,PASSED
Statement - description = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-27 14:16:35,2018-11-27 14:16:35,0.000s,PASSED
Statement - While (rs.next()),Chrome 70.0.3538.102,,2018-11-27 14:16:35,2018-11-27 14:16:35,0.000s,PASSED
demo.Database.closeDatabaseConnection,Chrome 70.0.3538.102,,2018-11-27 14:16:35,2018-11-27 14:16:35,0.015s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify message input on page with message getting from database,2018-11-27 14:16:35,2018-11-27 14:16:36,0.396s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 14:16:36,2018-11-27 14:16:36,0.245s,PASSED
