Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.102,,2018-11-21 11:48:51,2018-11-21 11:49:18,26.305s,FAILED
,,,,,,
Test Cases/Demo/DataTable,Chrome 70.0.3538.102,,2018-11-21 11:48:52,2018-11-21 11:49:18,25.529s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-21 11:48:52,2018-11-21 11:48:52,0.081s,PASSED
Statement - print = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-21 11:48:53,2018-11-21 11:48:53,0.002s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-21 11:48:53,2018-11-21 11:48:58,5.274s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-21 11:48:58,2018-11-21 11:48:59,1.262s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-21 11:48:59,2018-11-21 11:49:01,1.221s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-21 11:49:01,2018-11-21 11:49:01,0.142s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 70.0.3538.102,,2018-11-21 11:49:01,2018-11-21 11:49:01,0.013s,PASSED
"Statement - row_table = driver.findElements(org.openqa.selenium.By.xpath("".//*[@id='example']/tbody/tr""))",Chrome 70.0.3538.102,,2018-11-21 11:49:01,2018-11-21 11:49:01,0.086s,PASSED
Statement - row_count = row_table.size(),Chrome 70.0.3538.102,,2018-11-21 11:49:01,2018-11-21 11:49:01,0.002s,PASSED
"Statement - println(""No of rows are : "" + row_count)",Chrome 70.0.3538.102,,2018-11-21 11:49:01,2018-11-21 11:49:01,0.004s,PASSED
"Statement - For ([row = 0, row < row_count, (row++)])",Chrome 70.0.3538.102,,2018-11-21 11:49:01,2018-11-21 11:49:18,16.772s,FAILED
