Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DCM,Chrome 70.0.3538.77,,2018-11-13 14:16:04,2018-11-13 14:17:08,1m - 3.818s,FAILED
,,,,,,
Test Cases/DCM/Testcase01_VerifyLoginSuccessfully,Chrome 70.0.3538.77,,2018-11-13 14:16:05,2018-11-13 14:16:24,18.871s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-13 14:16:05,2018-11-13 14:16:05,0.218s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 14:16:06,2018-11-13 14:16:16,9.784s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 14:16:16,2018-11-13 14:16:17,0.720s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:16:17,2018-11-13 14:16:18,1.046s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-13 14:16:18,2018-11-13 14:16:19,0.964s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:16:19,2018-11-13 14:16:20,1.007s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:16:20,2018-11-13 14:16:21,1.308s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:16:21,2018-11-13 14:16:24,3.005s,PASSED
getWindowTitle,Chrome 70.0.3538.77,,2018-11-13 14:16:24,2018-11-13 14:16:24,0.040s,PASSED
,,,,,,
Test Cases/DCM/Testcase01_VerifyLoginSuccessfully,Chrome 70.0.3538.77,,2018-11-13 14:16:24,2018-11-13 14:16:35,11.032s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-13 14:16:24,2018-11-13 14:16:24,0.004s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 14:16:24,2018-11-13 14:16:33,8.466s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 14:16:33,2018-11-13 14:16:33,0.621s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:16:33,2018-11-13 14:16:34,1.007s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-13 14:16:34,2018-11-13 14:16:35,0.878s,FAILED
,,,,,,
Test Cases/DCM/Testcase01_VerifyLoginSuccessfully,Chrome 70.0.3538.77,,2018-11-13 14:16:35,2018-11-13 14:16:53,17.444s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-13 14:16:35,2018-11-13 14:16:35,0.003s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 14:16:35,2018-11-13 14:16:44,8.590s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 14:16:44,2018-11-13 14:16:45,0.772s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:16:45,2018-11-13 14:16:46,1.002s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-13 14:16:46,2018-11-13 14:16:46,0.410s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:16:46,2018-11-13 14:16:47,1.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:16:47,2018-11-13 14:16:49,2.332s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:16:49,2018-11-13 14:16:52,3.002s,PASSED
getWindowTitle,Chrome 70.0.3538.77,,2018-11-13 14:16:52,2018-11-13 14:16:53,0.227s,PASSED
,,,,,,
Test Cases/DCM/Testcase01_VerifyLoginSuccessfully,Chrome 70.0.3538.77,,2018-11-13 14:16:53,2018-11-13 14:17:08,15.186s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-13 14:16:53,2018-11-13 14:16:53,0.002s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 14:16:53,2018-11-13 14:17:01,8.922s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 14:17:01,2018-11-13 14:17:02,0.443s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:17:02,2018-11-13 14:17:03,1.001s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-13 14:17:03,2018-11-13 14:17:03,0.215s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:17:03,2018-11-13 14:17:04,1.002s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 14:17:04,2018-11-13 14:17:05,0.565s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:17:05,2018-11-13 14:17:08,3.001s,PASSED
getWindowTitle,Chrome 70.0.3538.77,,2018-11-13 14:17:08,2018-11-13 14:17:08,0.019s,PASSED
