Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.102,,2018-11-21 11:36:06,2018-11-21 11:36:36,29.301s,PASSED
,,,,,,
Test Cases/Demo/DataTable,Chrome 70.0.3538.102,,2018-11-21 11:36:09,2018-11-21 11:36:36,27.075s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-21 11:36:09,2018-11-21 11:36:09,0.382s,PASSED
Statement - print = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-21 11:36:10,2018-11-21 11:36:10,0.001s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-21 11:36:10,2018-11-21 11:36:17,6.933s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-21 11:36:17,2018-11-21 11:36:18,1.695s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-21 11:36:18,2018-11-21 11:36:20,1.309s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-21 11:36:20,2018-11-21 11:36:20,0.638s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 70.0.3538.102,,2018-11-21 11:36:20,2018-11-21 11:36:20,0.017s,PASSED
"Statement - row_table = driver.findElements(org.openqa.selenium.By.xpath("".//*[@id='example']/tbody/tr""))",Chrome 70.0.3538.102,,2018-11-21 11:36:20,2018-11-21 11:36:21,0.230s,PASSED
Statement - row_count = row_table.size(),Chrome 70.0.3538.102,,2018-11-21 11:36:21,2018-11-21 11:36:21,0.002s,PASSED
"Statement - println(""No of rows are : "" + row_count)",Chrome 70.0.3538.102,,2018-11-21 11:36:21,2018-11-21 11:36:21,0.026s,PASSED
"Statement - For ([row = 0, row < row_count, (row++)])",Chrome 70.0.3538.102,,2018-11-21 11:36:21,2018-11-21 11:36:36,15.024s,PASSED
