Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Webservices,,,2018-11-26 15:29:49,2018-11-26 15:30:09,20.695s,FAILED
,,,,,,
Test Cases/Demo/REST_Test_getWarehouseProInvByItemID,,,2018-11-26 15:29:51,2018-11-26 15:30:03,12.610s,FAILED
Start listener action : sampleBeforeTestCase,,,2018-11-26 15:29:51,2018-11-26 15:29:51,0.107s,PASSED
Statement - Try,,,2018-11-26 15:29:52,2018-11-26 15:30:03,11.569s,FAILED
,,,,,,
Test Cases/Demo/SOAP_Test_getBankinfo,,,2018-11-26 15:30:03,2018-11-26 15:30:09,6.106s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-11-26 15:30:03,2018-11-26 15:30:04,0.030s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Demo/Webservices/SOAP_getBankinfo)),,,2018-11-26 15:30:05,2018-11-26 15:30:06,1.679s,PASSED
verifyElementText,,,2018-11-26 15:30:06,2018-11-26 15:30:07,0.924s,PASSED
verifyElementText,,,2018-11-26 15:30:07,2018-11-26 15:30:08,0.705s,PASSED
verifyElementText,,,2018-11-26 15:30:08,2018-11-26 15:30:09,0.678s,PASSED
verifyElementText,,,2018-11-26 15:30:09,2018-11-26 15:30:09,0.474s,PASSED
