Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DCM,Chrome 70.0.3538.77,,2018-11-13 14:44:30,2018-11-13 14:44:44,14.149s,FAILED
,,,,,,
Test Cases/DCM/Testcase01_VerifyLoginSuccessfully,Chrome 70.0.3538.77,,2018-11-13 14:44:31,2018-11-13 14:44:44,13.472s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-13 14:44:31,2018-11-13 14:44:31,0.066s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 14:44:31,2018-11-13 14:44:41,9.581s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 14:44:41,2018-11-13 14:44:42,0.936s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 14:44:42,2018-11-13 14:44:43,1.030s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-13 14:44:43,2018-11-13 14:44:44,1.265s,FAILED
