Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.102,,2018-11-26 16:48:09,2018-11-26 16:52:28,4m - 19.081s,PASSED
,,,,,,
Test Cases/Demo/DataTable_Pagination,Chrome 70.0.3538.102,,2018-11-26 16:48:10,2018-11-26 16:50:40,2m - 30.089s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-26 16:48:10,2018-11-26 16:48:10,0.128s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-26 16:48:11,2018-11-26 16:48:18,6.655s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-26 16:48:18,2018-11-26 16:48:19,1.899s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-26 16:48:19,2018-11-26 16:48:21,1.885s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-26 16:48:21,2018-11-26 16:48:21,0.072s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 70.0.3538.102,,2018-11-26 16:48:21,2018-11-26 16:48:21,0.011s,PASSED
"Statement - pagination = driver.findElements(org.openqa.selenium.By.xpath("".//*[@id=""example_paginate""]/span/a""))",Chrome 70.0.3538.102,,2018-11-26 16:48:21,2018-11-26 16:48:22,0.271s,PASSED
Statement - size = pagination.size(),Chrome 70.0.3538.102,,2018-11-26 16:48:22,2018-11-26 16:48:22,0.001s,PASSED
"Statement - println(""Total Pages of this site is :"" + size)",Chrome 70.0.3538.102,,2018-11-26 16:48:22,2018-11-26 16:48:22,0.005s,PASSED
Statement - row_data_table = 1,Chrome 70.0.3538.102,,2018-11-26 16:48:22,2018-11-26 16:48:22,0.003s,PASSED
"Statement - For ([i = 1, i <= size, (i++)])",Chrome 70.0.3538.102,,2018-11-26 16:48:22,2018-11-26 16:50:40,2m - 18.199s,PASSED
,,,,,,
Test Cases/Demo/Excel_with_Database,Chrome 70.0.3538.102,,2018-11-26 16:50:40,2018-11-26 16:51:43,1m - 3.161s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-26 16:50:40,2018-11-26 16:50:40,0.003s,PASSED
"Statement - downloadPath = ""C:\Users\longnguyen\Downloads\Selenium Easy - Download Table Data to CSV, Excel, PDF and Print.xlsx""",Chrome 70.0.3538.102,,2018-11-26 16:50:41,2018-11-26 16:50:41,0.001s,PASSED
"Statement - sheetname = ""Sheet1""",Chrome 70.0.3538.102,,2018-11-26 16:50:41,2018-11-26 16:50:41,0.001s,PASSED
Statement - total_excel_row = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-26 16:50:41,2018-11-26 16:50:41,0.000s,PASSED
