Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.102,,2018-11-19 16:06:57,2018-11-19 16:08:00,1m - 2.539s,PASSED
,,,,,,
Test Cases/Demo/Alert,Chrome 70.0.3538.102,,2018-11-19 16:06:58,2018-11-19 16:07:36,37.702s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-19 16:07:01,2018-11-19 16:07:01,0.101s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:07:01,2018-11-19 16:07:13,11.550s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Go to Alert Demo Screen,2018-11-19 16:07:13,2018-11-19 16:07:15,2.438s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 16:07:15,2018-11-19 16:07:16,1.190s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:07:16,2018-11-19 16:07:19,2.040s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-19 16:07:19,2018-11-19 16:07:19,0.501s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:07:19,2018-11-19 16:07:20,1.009s,PASSED
click,Chrome 70.0.3538.102,Click on the second [Click me!] button,2018-11-19 16:07:20,2018-11-19 16:07:20,0.181s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 70.0.3538.102,,2018-11-19 16:07:20,2018-11-19 16:07:20,0.010s,PASSED
Statement - AlertText = driver.switchTo().alert().getText(),Chrome 70.0.3538.102,Get Alert Text,2018-11-19 16:07:20,2018-11-19 16:07:20,0.073s,PASSED
verifyEqual,Chrome 70.0.3538.102,Verify Alert Text,2018-11-19 16:07:20,2018-11-19 16:07:21,0.507s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:07:21,2018-11-19 16:07:23,2.004s,PASSED
acceptAlert,Chrome 70.0.3538.102,Click on [OK] from Alert,2018-11-19 16:07:23,2018-11-19 16:07:23,0.233s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify you clicked on [OK],2018-11-19 16:07:23,2018-11-19 16:07:24,0.826s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:07:24,2018-11-19 16:07:25,1.003s,PASSED
click,Chrome 70.0.3538.102,Click on the second [Click me!] button,2018-11-19 16:07:25,2018-11-19 16:07:25,0.097s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:07:25,2018-11-19 16:07:27,2.002s,PASSED
dismissAlert,Chrome 70.0.3538.102,Click on [Cancel] from Alert,2018-11-19 16:07:27,2018-11-19 16:07:27,0.064s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify you clicked on [Cancel],2018-11-19 16:07:27,2018-11-19 16:07:27,0.416s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-19 16:07:27,2018-11-19 16:07:28,0.156s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:07:28,2018-11-19 16:07:30,2.007s,PASSED
click,Chrome 70.0.3538.102,Click on [Click for Prompt Box] button,2018-11-19 16:07:30,2018-11-19 16:07:30,0.336s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:07:30,2018-11-19 16:07:31,1.003s,PASSED
Statement - driver.switchTo().alert().sendKeys(message_text),Chrome 70.0.3538.102,Input text into prompt popup,2018-11-19 16:07:31,2018-11-19 16:07:31,0.035s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:07:31,2018-11-19 16:07:33,2.003s,PASSED
acceptAlert,Chrome 70.0.3538.102,,2018-11-19 16:07:33,2018-11-19 16:07:33,0.053s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify inputted text,2018-11-19 16:07:33,2018-11-19 16:07:34,0.691s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 16:07:34,2018-11-19 16:07:35,1.002s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-19 16:07:35,2018-11-19 16:07:36,1.011s,PASSED
,,,,,,
Test Cases/Demo/Text,Chrome 70.0.3538.102,,2018-11-19 16:07:36,2018-11-19 16:08:00,23.954s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-19 16:07:36,2018-11-19 16:07:36,0.009s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:07:37,2018-11-19 16:07:39,2.911s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Go to [Simple Form Demo] Screen,2018-11-19 16:07:39,2018-11-19 16:07:41,2.058s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 16:07:41,2018-11-19 16:07:43,1.216s,PASSED
verifyTextPresent,Chrome 70.0.3538.102,Verify text [This would be your first example to start with Selenium.] with specified value,2018-11-19 16:07:43,2018-11-19 16:07:43,0.578s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-19 16:07:43,2018-11-19 16:07:45,2.005s,PASSED
callTestCase,Chrome 70.0.3538.102,Connect Database,2018-11-19 16:07:45,2018-11-19 16:07:58,13.089s,PASSED
"Statement - rs = CustomKeywords.demo.Database.executeQuery(com.kms.katalon.core.testdata.TestDataFactory.findTestData(Demo/Sample_TC_Text).getValue(14, 6))",Chrome 70.0.3538.102,Query expected text from database,2018-11-19 16:07:58,2018-11-19 16:07:59,1.052s,PASSED
Statement - description = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-19 16:07:59,2018-11-19 16:07:59,0.000s,PASSED
Statement - While (rs.next()),Chrome 70.0.3538.102,,2018-11-19 16:07:59,2018-11-19 16:08:00,0.100s,PASSED
demo.Database.closeDatabaseConnection,Chrome 70.0.3538.102,,2018-11-19 16:08:00,2018-11-19 16:08:00,0.020s,PASSED
verifyEqual,Chrome 70.0.3538.102,Verify text [This would be your first example to start with Selenium.] with result getting from database,2018-11-19 16:08:00,2018-11-19 16:08:00,0.213s,PASSED
